epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.0451412683441526,0.33849790211860387,0.8910364920184726,0.6104354906738079
1,0.001,0.6269313018946421,0.5553262800911841,0.509117182521593,0.5402025298686838
2,0.001,0.3112051989351,0.6766259393393678,0.6527084686926433,0.2906924899200399
3,0.001,0.1762114117897692,0.7859909110714697,0.40827173207487377,0.5431967169575954
4,0.001,0.14073367381379717,0.8145354511123103,0.26509295120125725,0.6526641245943038
5,0.001,0.09678066326748758,0.867111108199893,0.2570010528323196,0.6806690785412508
6,0.001,0.0780966799351431,0.8908077428700296,0.5406818551321825,0.3992263868699105
7,0.001,0.10368469708732196,0.8539233043179356,0.12378366850316525,0.8236237228015726
8,0.001,0.07131527350062415,0.8956572187594007,0.1534353168237777,0.7841657626045123
9,0.001,0.06375588626556453,0.9054580824844423,0.5850309812951655,0.3654004212341904
10,0.001,0.06883933351685603,0.8971373033829536,0.2867295571735927,0.6638450054226929
11,0.001,0.07141592638300998,0.8940764625695499,0.2993210967009266,0.6406785770713752
12,0.001,0.062343075117539795,0.9054057860097572,0.1901553850177498,0.7679904429219521
13,0.001,0.05142425259663945,0.9221015086866762,0.22257175096975906,0.7394056752208553
14,0.001,0.045893998860958074,0.9298468107523526,0.2092568405149948,0.7455466820478145
15,0.001,0.042731718719005586,0.9342610358180504,0.2460123858458939,0.7179731221842959
16,0.001,0.04738846045164835,0.9294391689081126,0.16709225589320773,0.7821943966144534
17,0.001,0.04060063039263089,0.9370169609662609,0.2056861568597101,0.7624568040450096
18,0.001,0.0506051125670118,0.9221589544864852,0.16297931348284087,0.7722444083863348
19,0.001,0.04298529727384448,0.9332783562612277,0.17121862220977033,0.7903909715679983
20,0.001,0.040189185122116694,0.9371318793711014,0.1563054241151327,0.7955831496773468
21,0.001,0.03703195186154473,0.9424590150044451,0.14061738563967602,0.8150577420005651
22,0.001,0.03605160062156972,0.9436859714717915,0.17196448879050358,0.795140701672891
23,0.001,0.03770056553628473,0.9412196310986493,0.2592093319232975,0.6943068812030893
24,0.001,0.0346812952442893,0.9452724107506855,0.14439576775545165,0.8141772909224962
25,0.001,0.03362618657272486,0.9473273861460147,0.13018754953961997,0.8268984546827935
26,0.001,0.033509450175222895,0.9471824852756129,0.1540357233690364,0.8035767082344979
27,0.001,0.032061082240016685,0.9495997136555075,0.13880840174499012,0.8180465372689595
28,0.001,0.03313579517638399,0.9477396843298151,0.1793588294337193,0.7725298945432029
29,0.001,0.03240016685532672,0.9487081438645542,0.17268393259672893,0.7811799439199618
30,0.001,0.032269407458425985,0.949103172639742,0.17640545973110766,0.7720872843628064
31,0.001,0.031235157352473054,0.950624079691923,0.1793786972495062,0.7798327896790954
32,0.001,0.030626818626409487,0.9512359364475648,0.17508097591676883,0.7824060305344364
33,0.001,0.03541752594035296,0.9438712125816291,0.20864218251690977,0.7427698780621909
34,0.001,0.031097479355299756,0.9501157825520353,0.23105306231549808,0.7182401157209684
35,0.001,0.02979472667156231,0.9527730204345866,0.2134694042393849,0.7396007704218276
36,0.001,0.029890260118104164,0.9525850896577879,0.19574217165687255,0.7502185968542058
37,0.001,0.028429922097850415,0.9543496302955674,0.20342159767945608,0.749959719446193
38,0.001,0.028419034790602468,0.9546752162316722,0.21022125182762033,0.7456035602369949
39,0.001,0.028153477232193663,0.9550235349778486,0.20547612902841397,0.7411445218597592
40,0.001,0.02870022774718347,0.9540307735929621,0.19621720329104436,0.7495433988896625
41,0.001,0.027688773193707068,0.9555965951064903,0.1678788641999875,0.7818436973430247
42,0.001,0.02767404130704346,0.9555492917103628,0.19406037498265505,0.7572990175035719
43,0.001,0.027912992890924214,0.9549440305860407,0.1742876543264304,0.7762272493047113
44,0.001,0.02682947969684998,0.9567903915825501,0.2019596475930441,0.7436972105638943
45,0.001,0.027021522642601103,0.9566332054849309,0.16917740615705648,0.7704218297654738
46,0.001,0.026435409402031273,0.9575405513428271,0.177634824821282,0.7630035343356448
47,0.001,0.026834459079518206,0.956842955399682,0.17092686971383436,0.7722216230033377
48,0.001,0.026036554845493463,0.9583411991726777,0.17890648570443904,0.7637791016509903
49,0.001,0.026205984303461653,0.9575240413908909,0.16286270471201056,0.7831396051847117
50,0.001,0.02553284838352175,0.9588533652505662,0.17075538657428252,0.7790232279618892
51,0.001,0.025611693664853063,0.9590618690931213,0.17241943463505732,0.778464464959955
52,0.001,0.025410057471266814,0.9587818838020528,0.16632138866753804,0.7767975530836198
53,0.001,0.02499872310353177,0.9598794271828411,0.16263664797658012,0.7853113319447876
54,0.001,0.025269901614990972,0.9592186878959718,0.17902797890738362,0.763583165512822
55,0.001,0.025109768454872426,0.9596094787380406,0.18190541929964507,0.766966700146254
56,0.001,0.024697397906510602,0.9603659161385697,0.15644739829890786,0.7897012502416575
57,0.001,0.024978027550414915,0.9595920238480287,0.1618026095841612,0.7866739176329034
58,0.001,0.024672830441877954,0.9604633557596763,0.1665685675328686,0.7817868886849417
