epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.2276363372802734,0.12954712036435315,1.165617891720363,8.950531378840723e-10
1,0.001,1.0904986140273867,0.3381825320050977,1.088797853106544,1.1267831336205487e-09
2,0.001,1.005493122906912,0.40287641317545564,1.0380862128166926,0.2349145876750771
3,0.001,0.9276911111105056,0.42741244850447974,0.9574084835393089,0.624344946065074
4,0.001,0.8500191921279544,0.45164967568834163,0.8742477780296689,0.6245328430185703
5,0.001,0.7554395939622607,0.5225919258583862,0.8769035126481738,0.5572385054458362
6,0.001,0.6494113069205057,0.6233768969447228,0.7704798423108601,0.6413002593186237
7,0.001,0.5586216695251919,0.6954767101023772,1.0183982309840975,1.2092598851817184e-09
8,0.001,0.48485816121101377,0.7267854077530401,0.8946214275700706,0.23270267635157635
9,0.001,0.41445714483658475,0.7885215210291779,0.9533982447215489,0.07876061068843232
10,0.001,0.4021583056875638,0.794230310445708,0.6923335123629797,0.6688338752378291
11,0.001,0.35089245034115657,0.8298486572728113,0.8740686632338024,0.5187818200291283
12,0.001,0.3208366265609151,0.8512199999410385,0.7367672338372185,0.7045383972968343
13,0.001,0.3129467156671342,0.8611934347462626,0.49763356362070355,0.6681727869181395
14,0.001,0.2977063423111325,0.8597279450661094,0.43074846267700195,0.7739676118350775
15,0.001,0.28868488233004297,0.8751743446198567,0.4865448240722929,0.679188253867289
16,0.001,0.2745283574930259,0.8781587554113014,0.7835795481999716,0.498312141212926
17,0.001,0.2581864713558129,0.8895076272198678,0.6336267086721602,0.5745341742629977
18,0.001,0.25480604643623034,0.8994233326272071,0.6715875693729946,0.5454049310359598
19,0.001,0.25133044194607507,0.8932171236412904,0.6699721898351397,0.6000464878856423
20,0.001,0.23884673515955607,0.9001179680747244,0.38574297655196416,0.8300315529301792
21,0.001,0.24046414920261927,0.8997377013612445,0.4485508891798201,0.7649011698210506
22,0.001,0.23810692362132527,0.9065796418494347,0.3922034821340016,0.696013195581836
23,0.001,0.226005254473005,0.9077193968750816,0.7916846175988516,0.7033443490379939
24,0.001,0.23413025154953912,0.9081095993179977,0.9496792001383645,0.23244442007203597
25,0.001,0.2143511579505035,0.9217760449848008,0.9592060886678242,0.1774356260668625
26,0.001,0.21058951587904068,0.9213257132388334,0.9028684823285966,0.37647239532435073
