image_id,iou
0,0.9000510898026887
1,0.8885160584751045
2,0.9040115531524194
3,0.9146087329011098
4,0.9213947689005489
5,0.893649115814828
6,0.8291101370844006
7,0.7930936727801978
8,0.830348095909732
9,0.8624411828958234
10,0.7708031461689099
11,0.8194832855292277
12,0.8575128630563823
13,0.911081723277385
14,0.9406081084214252
15,0.9297301243187713
16,0.9430490936675824
17,0.9428936067199482
18,0.9510362969952707
19,0.9436350593911093
20,0.9482635867415553
21,0.9552882337344352
22,0.9581094006526246
23,0.9531394082885598
24,0.9571016571688601
25,0.9567802938361808
26,0.9629922406937284
27,0.9573188667635146
28,0.9535250005080715
29,0.947695318053261
30,0.9751792640404084
31,0.9708005124370229
32,0.9693222601877648
33,0.9631204093741405
34,0.9639174498062006
35,0.9583413525795242
