image_id,iou
0,0.8995814966872526
1,0.8890324627785753
2,0.90427493966116
3,0.9153300328364821
4,0.9208905892638823
5,0.8883264049798167
6,0.8295151884001594
7,0.7923453823089982
8,0.827556904400607
9,0.8592162912871775
10,0.7717182586687054
11,0.8187680411669802
12,0.8567297711982255
13,0.9105308641880808
14,0.9407935166840721
15,0.9297164960998819
16,0.9428755550327661
17,0.9430741058744334
18,0.9508665645298897
19,0.9438143931135851
20,0.9482635867415553
21,0.9551141706514686
22,0.9582953024439889
23,0.9531394082885598
24,0.9571016571688601
25,0.9563860592465018
26,0.9631952388571919
27,0.9575278028364506
28,0.9537409309225903
29,0.947695318053261
30,0.9751792640404084
31,0.9708005124370229
32,0.9693222601877648
33,0.9603369253296945
34,0.9639174498062006
35,0.9583413525795242
