image_id,iou
0,0.8651518896884369
1,0.8768702480331856
2,0.9053597298277168
3,0.922585227456001
4,0.9287045668017136
5,0.930581180971907
6,0.9348964262806819
7,0.9278258940088254
8,0.917066783245162
9,0.8486723900006541
10,0.8319099382144605
11,0.8606395581116472
12,0.8222049692891984
13,0.8652370649906805
14,0.8933017192386846
15,0.8769230771627593
16,0.8728687919331565
17,0.8995284731600862
18,0.9275206316334398
19,0.9141368781854915
20,0.9128944997062317
21,0.9104640583976996
22,0.9092427618610937
23,0.9010554091574531
24,0.8956786600120338
25,0.9037475347066124
26,0.9392523365720188
27,0.9410904534341122
28,0.9389164689425502
29,0.9420126355098993
30,0.9669662376318529
31,0.966427473176762
32,0.9552603038089471
33,0.9489114660408956
34,0.9575871820371122
35,0.9446343132445854
