image_id,iou
0,0.8709597218524124
1,0.900416973508911
2,0.9232810617049915
3,0.9377662093285231
4,0.9474051665175585
5,0.9468843413500015
6,0.9554241529328539
7,0.9536186422728689
8,0.9494034468638899
9,0.8927108929305674
10,0.8453985370708538
11,0.7810883143959173
12,0.8041983354972886
13,0.8190027486866848
14,0.8860308668657878
15,0.8818110547200881
16,0.9042965150206592
17,0.8993118437172911
18,0.9389107847744342
19,0.9272271017615574
20,0.9195609143070705
21,0.9115831519397546
22,0.9242004068696609
23,0.9458544840273463
24,0.9607314726453677
25,0.9582018928268891
26,0.9679448164578113
27,0.961940610702759
28,0.9502262444511393
29,0.9491792220616613
30,0.9779500848607947
31,0.9754663941337429
32,0.9689692391555066
33,0.9633794695404283
34,0.9674796748984376
35,0.9619306595447632
