image_id,iou
0,0.8437655244814567
1,0.7984800201066927
2,0.8115523470239415
3,0.8459726805323301
4,0.8509704254829704
5,0.8305235141292736
6,0.7905146321079423
7,0.7560246595254537
8,0.7887053403981841
9,0.8160601269460837
10,0.732095955643327
11,0.7790399417753024
12,0.832471759845928
13,0.8827464098313075
14,0.9092885377286788
15,0.9062743571584677
16,0.9240436149989953
17,0.9259460439508491
18,0.9458004308223251
19,0.9187488766515389
20,0.9351751536020673
21,0.9483199416575604
22,0.9529477404631806
23,0.9479225419290797
24,0.9525273881365993
25,0.9532728707545882
26,0.9614291515196323
27,0.956112852756295
28,0.9518358532357757
29,0.9457329431530445
30,0.9725927723196878
31,0.9659933521708173
32,0.9636659436993874
33,0.958236659053838
34,0.9592731830849838
35,0.9539720424344629
