image_id,iou
0,0.785161914487284
1,0.7815982931429968
2,0.7628430688181022
3,0.782667569887909
4,0.8181429186603704
5,0.7546335304241081
6,0.7914072233470171
7,0.7521349723971361
8,0.7206288512414939
9,0.7446058096584942
10,0.7704883676996681
11,0.8085235309866219
12,0.8233670656423789
13,0.8721478410858988
14,0.91296796620423
15,0.9044730858520222
16,0.9055817326828892
17,0.9106607931089677
18,0.8972709892277577
19,0.9214631523732058
20,0.9360159508138192
21,0.9391510294422463
22,0.9151031025169922
23,0.885574939250469
24,0.8844307930803785
25,0.8775108312770562
26,0.8774311185627408
27,0.8760451507607752
28,0.8843581448018163
29,0.8669972951600603
30,0.8856382981488437
31,0.9025261548800048
32,0.8717672417247649
33,0.8095374897743824
34,0.8688319804221363
35,0.6786202196768435
