epoch,train_loss,train_iou,val_loss,val_iou
1,0.09901530581659504,0.31735168287350907,0.07218686287246999,6.595650959970758e-05
2,0.01038077136701239,0.8605288789256511,0.06044540864725908,0.01734940351188949
3,0.005832832933603121,0.9099190570577776,0.05136597602229033,0.1338018768333839
4,0.004493551519477651,0.924507160189455,0.06263929159779634,0.06628679701188671
5,0.0037753723520186863,0.9330786006736086,0.06013045291460696,0.11011882857182706
6,0.0032997435549207564,0.9396174147378054,0.08406770473257416,0.004954264975336208
7,0.0030028012611659333,0.9435418794599102,0.06641166885605171,0.07731172382895017
8,0.002764966927047464,0.947001721359867,0.09192846963802974,0.004489600413325719
9,0.0025942926960332052,0.9495998054810613,0.07917575507114331,0.032627046639936055
10,0.0024370023971035455,0.9517265800229755,0.09138272649475507,0.00957780271414513
11,0.00234272989882378,0.9530911547274582,0.08707400335974637,0.018966969824512778
12,0.002219392014168469,0.9553073407355879,0.0930543186231738,0.010854274967951851
13,0.0021498235417917993,0.9562507864633201,0.08613290717559201,0.02376710898825857
14,0.002069177087451819,0.9579350905353277,0.08752682538969177,0.02797933580474715
15,0.002015986303255583,0.9585019015473789,0.09300835381838538,0.015028262381641722
16,0.0019334594349077504,0.9602423632142989,0.09665382174508912,0.012577917277421196
17,0.0018714942376218027,0.9612799832707176,0.08896723739980232,0.03417196094126775
18,0.0018344262219865673,0.9617020102226561,0.09632543842529967,0.020767371422416418
19,0.0017839662036359576,0.9626826575769151,0.07855799488191094,0.09231007858473331
20,0.001739699319226756,0.9635399031724796,0.07686058524996042,0.10413472440589715
21,0.0016990779250461076,0.9641892417837591,0.09416533886854138,0.03222626318217793
22,0.0016588000422676228,0.9648406585451421,0.10874395648993197,0.009465650998998692
23,0.001636979840224653,0.9654140369504293,0.09005649356792371,0.04866709466502391
24,0.00158422275008412,0.9664732456111805,0.1105267084425404,0.008177720703721766
25,0.0015587758380986218,0.9669283134581701,0.09058831920403809,0.050994056776529115
26,0.0015154791745035688,0.96776920597811,0.09170271416327783,0.056298652869752906
27,0.0015018613988234263,0.967925390636815,0.09036880704973425,0.06907296461601879
28,0.0015058409417092445,0.9676183714823446,0.10171047952913102,0.02649791792585878
29,0.0015051587057227846,0.9673985651205034,0.08914821102683033,0.06702477825678585
30,0.0014732904617890848,0.9682161653584936,0.09889843687415123,0.03421078383715855
31,0.001414974625541141,0.9696410196077251,0.11336342954919451,0.012263494444353314
32,0.00137233780107982,0.9704473228267845,0.10006285152797188,0.03978238716419852
33,0.0013509889701492197,0.9709675304770484,0.10181005232568298,0.03639568150611501
34,0.001310833477916839,0.9719501836533871,0.1004250075313307,0.041356251589690356
35,0.0012961634206779611,0.972101732506049,0.10193671294975848,0.041217838796207204
36,0.0012645981174760632,0.9728793486778282,0.09251312051145803,0.07861557500944631
37,0.001248235309321899,0.9732959342893442,0.1019388208431857,0.04945678492099449
38,0.0012238894743079852,0.9737894018167939,0.09188904369338638,0.09419453458604668
39,0.0012182885101841142,0.9737741936928305,0.09522433840625343,0.08302524288981676
40,0.0012500719443778508,0.973046572086098,0.10358556852276836,0.047241962629575446
41,0.0012468280475808396,0.9728763183942318,0.10153603775515443,0.0542596934299957
42,0.0011960314171682556,0.974206790047229,0.10558475882169746,0.04524568162092515
43,0.0011838671598871726,0.9743701218091975,0.09513901954605467,0.0803312025476418
44,0.0011734565830833854,0.9746156386326043,0.09875082047212691,0.07399980632902313
45,0.001120387233372423,0.9760423713612011,0.10785115829535893,0.04014989458082517
46,0.0011040843202776852,0.9763547495354877,0.0956673798195663,0.09857162278137256
47,0.001092499435236234,0.9765822189588461,0.09872013946906441,0.08603100422357224
48,0.0010631029237715883,0.977402389391088,0.08906548958094347,0.1397528928347267
49,0.001060473220769338,0.9771780754417698,0.10199381983173746,0.07337034597136174
50,0.0010853611392251748,0.9765286083373451,0.09994876606478578,0.08247415212445379
51,0.001076025665263712,0.9767349017778484,0.0750721291461516,0.2393736984625048
52,0.001031076919960989,0.9779349947830338,0.10177094134546462,0.08024926604010556
53,0.0010156026270817077,0.9783956761726845,0.1155814037968715,0.03218799165812908
54,0.0010218527797232603,0.9781018188189172,0.09780908761812108,0.10142914133659203
55,0.0010224764310849076,0.9780748503796727,0.10233737962941329,0.07049648986611985
56,0.0009901033631259841,0.9788455863017782,0.10671483876094931,0.06555739430151857
57,0.0009705247684559297,0.9794128174565055,0.09864033257500046,0.1036136662654233
58,0.0009481500514777421,0.9799559620825591,0.09826295352762654,0.10649933222417542
59,0.000920065913912064,0.9807720481165515,0.08252625380243574,0.2135363830127533
60,0.0009097915163563033,0.9809920904356375,0.10766678201478153,0.07268337281315528
